Number of nodes 662 
     0 : -4.5900000e-01 -5.5125000e-01 
     1 :  0.0000000e+00 -5.5125000e-01 
     2 :  4.5900000e-01 -5.5125000e-01 
     3 :  4.5900000e-01  5.5125000e-01 
     4 :  0.0000000e+00  5.5125000e-01 
     5 : -4.5900000e-01  5.5125000e-01 
     6 : -2.2950000e-01 -5.5125000e-01 
     7 :  2.2950000e-01 -5.5125000e-01 
     8 :  2.2950000e-01  5.5125000e-01 
     9 : -2.2950000e-01  5.5125000e-01 
    10 : -4.5900000e-01  5.0331522e-01 
    11 : -4.5900000e-01  4.5538043e-01 
    12 : -4.5900000e-01  4.0744565e-01 
    13 : -4.5900000e-01  3.5951087e-01 
    14 : -4.5900000e-01  3.1157609e-01 
    15 : -4.5900000e-01  2.6364130e-01 
    16 : -4.5900000e-01  2.1570652e-01 
    17 : -4.5900000e-01  1.6777174e-01 
    18 : -4.5900000e-01  1.1983696e-01 
    19 : -4.5900000e-01  7.1902174e-02 
    20 : -4.5900000e-01  2.3967391e-02 
    21 : -4.5900000e-01 -2.3967391e-02 
    22 : -4.5900000e-01 -7.1902174e-02 
    23 : -4.5900000e-01 -1.1983696e-01 
    24 : -4.5900000e-01 -1.6777174e-01 
    25 : -4.5900000e-01 -2.1570652e-01 
    26 : -4.5900000e-01 -2.6364130e-01 
    27 : -4.5900000e-01 -3.1157609e-01 
    28 : -4.5900000e-01 -3.5951087e-01 
    29 : -4.5900000e-01 -4.0744565e-01 
    30 : -4.5900000e-01 -4.5538043e-01 
    31 : -4.5900000e-01 -5.0331522e-01 
    32 : -4.1068421e-01 -5.5125000e-01 
    33 : -3.6236842e-01 -5.5125000e-01 
    34 : -3.1405263e-01 -5.5125000e-01 
    35 : -2.6573684e-01 -5.5125000e-01 
    36 : -2.1742105e-01 -5.5125000e-01 
    37 : -1.6910526e-01 -5.5125000e-01 
    38 : -1.2078947e-01 -5.5125000e-01 
    39 : -7.2473684e-02 -5.5125000e-01 
    40 : -2.4157895e-02 -5.5125000e-01 
    41 :  2.4157895e-02 -5.5125000e-01 
    42 :  7.2473684e-02 -5.5125000e-01 
    43 :  1.2078947e-01 -5.5125000e-01 
    44 :  1.6910526e-01 -5.5125000e-01 
    45 :  2.1742105e-01 -5.5125000e-01 
    46 :  2.6573684e-01 -5.5125000e-01 
    47 :  3.1405263e-01 -5.5125000e-01 
    48 :  3.6236842e-01 -5.5125000e-01 
    49 :  4.1068421e-01 -5.5125000e-01 
    50 :  4.5900000e-01 -5.0331522e-01 
    51 :  4.5900000e-01 -4.5538043e-01 
    52 :  4.5900000e-01 -4.0744565e-01 
    53 :  4.5900000e-01 -3.5951087e-01 
    54 :  4.5900000e-01 -3.1157609e-01 
    55 :  4.5900000e-01 -2.6364130e-01 
    56 :  4.5900000e-01 -2.1570652e-01 
    57 :  4.5900000e-01 -1.6777174e-01 
    58 :  4.5900000e-01 -1.1983696e-01 
    59 :  4.5900000e-01 -7.1902174e-02 
    60 :  4.5900000e-01 -2.3967391e-02 
    61 :  4.5900000e-01  2.3967391e-02 
    62 :  4.5900000e-01  7.1902174e-02 
    63 :  4.5900000e-01  1.1983696e-01 
    64 :  4.5900000e-01  1.6777174e-01 
    65 :  4.5900000e-01  2.1570652e-01 
    66 :  4.5900000e-01  2.6364130e-01 
    67 :  4.5900000e-01  3.1157609e-01 
    68 :  4.5900000e-01  3.5951087e-01 
    69 :  4.5900000e-01  4.0744565e-01 
    70 :  4.5900000e-01  4.5538043e-01 
    71 :  4.5900000e-01  5.0331522e-01 
    72 :  4.1068421e-01  5.5125000e-01 
    73 :  3.6236842e-01  5.5125000e-01 
    74 :  3.1405263e-01  5.5125000e-01 
    75 :  2.6573684e-01  5.5125000e-01 
    76 :  2.1742105e-01  5.5125000e-01 
    77 :  1.6910526e-01  5.5125000e-01 
    78 :  1.2078947e-01  5.5125000e-01 
    79 :  7.2473684e-02  5.5125000e-01 
    80 :  2.4157895e-02  5.5125000e-01 
    81 : -2.4157895e-02  5.5125000e-01 
    82 : -7.2473684e-02  5.5125000e-01 
    83 : -1.2078947e-01  5.5125000e-01 
    84 : -1.6910526e-01  5.5125000e-01 
    85 : -2.1742105e-01  5.5125000e-01 
    86 : -2.6573684e-01  5.5125000e-01 
    87 : -3.1405263e-01  5.5125000e-01 
    88 : -3.6236842e-01  5.5125000e-01 
    89 : -4.1068421e-01  5.5125000e-01 
    90 : -4.5630932e-01 -6.0087663e-01 
    91 : -4.4826884e-01 -6.4992143e-01 
    92 : -4.3497281e-01 -6.9780940e-01 
    93 : -4.1657712e-01 -7.4397910e-01 
    94 : -3.9329744e-01 -7.8788922e-01 
    95 : -3.6540672e-01 -8.2902497e-01 
    96 : -3.3323193e-01 -8.6690405e-01 
    97 : -2.9715030e-01 -9.0108238e-01 
    98 : -2.5758486e-01 -9.3115925e-01 
    99 : -2.1499947e-01 -9.5678203e-01 
   100 : -1.6989341e-01 -9.7765031e-01 
   101 : -1.2279551e-01 -9.9351945e-01 
   102 : -7.4257935e-02 -1.0042034e+00 
   103 : -2.4849757e-02 -1.0095768e+00 
   104 :  2.4849761e-02 -1.0095768e+00 
   105 :  7.4257938e-02 -1.0042034e+00 
   106 :  1.2279551e-01 -9.9351945e-01 
   107 :  1.6989341e-01 -9.7765031e-01 
   108 :  2.1499948e-01 -9.5678203e-01 
   109 :  2.5758486e-01 -9.3115925e-01 
   110 :  2.9715031e-01 -9.0108238e-01 
   111 :  3.3323193e-01 -8.6690405e-01 
   112 :  3.6540672e-01 -8.2902496e-01 
   113 :  3.9329744e-01 -7.8788922e-01 
   114 :  4.1657712e-01 -7.4397910e-01 
   115 :  4.3497281e-01 -6.9780940e-01 
   116 :  4.4826884e-01 -6.4992143e-01 
   117 :  4.5630932e-01 -6.0087663e-01 
   118 :  4.5630932e-01  6.0087663e-01 
   119 :  4.4826884e-01  6.4992143e-01 
   120 :  4.3497281e-01  6.9780940e-01 
   121 :  4.1657712e-01  7.4397910e-01 
   122 :  3.9329744e-01  7.8788922e-01 
   123 :  3.6540672e-01  8.2902497e-01 
   124 :  3.3323193e-01  8.6690405e-01 
   125 :  2.9715030e-01  9.0108238e-01 
   126 :  2.5758486e-01  9.3115925e-01 
   127 :  2.1499947e-01  9.5678203e-01 
   128 :  1.6989341e-01  9.7765031e-01 
   129 :  1.2279551e-01  9.9351945e-01 
   130 :  7.4257935e-02  1.0042034e+00 
   131 :  2.4849757e-02  1.0095768e+00 
   132 : -2.4849761e-02  1.0095768e+00 
   133 : -7.4257938e-02  1.0042034e+00 
   134 : -1.2279551e-01  9.9351945e-01 
   135 : -1.6989341e-01  9.7765031e-01 
   136 : -2.1499948e-01  9.5678203e-01 
   137 : -2.5758486e-01  9.3115925e-01 
   138 : -2.9715031e-01  9.0108238e-01 
   139 : -3.3323193e-01  8.6690405e-01 
   140 : -3.6540672e-01  8.2902496e-01 
   141 : -3.9329744e-01  7.8788922e-01 
   142 : -4.1657712e-01  7.4397910e-01 
   143 : -4.3497281e-01  6.9780940e-01 
   144 : -4.4826884e-01  6.4992143e-01 
   145 : -4.5630932e-01  6.0087663e-01 
   146 : -2.2950000e-01  5.0331522e-01 
   147 : -2.2950000e-01  4.5538043e-01 
   148 : -2.2950000e-01  4.0744565e-01 
   149 : -2.2950000e-01  3.5951087e-01 
   150 : -2.2950000e-01  3.1157609e-01 
   151 : -2.2950000e-01  2.6364130e-01 
   152 : -2.2950000e-01  2.1570652e-01 
   153 : -2.2950000e-01  1.6777174e-01 
   154 : -2.2950000e-01  1.1983696e-01 
   155 : -2.2950000e-01  7.1902174e-02 
   156 : -2.2950000e-01  2.3967391e-02 
   157 : -2.2950000e-01 -2.3967391e-02 
   158 : -2.2950000e-01 -7.1902174e-02 
   159 : -2.2950000e-01 -1.1983696e-01 
   160 : -2.2950000e-01 -1.6777174e-01 
   161 : -2.2950000e-01 -2.1570652e-01 
   162 : -2.2950000e-01 -2.6364130e-01 
   163 : -2.2950000e-01 -3.1157609e-01 
   164 : -2.2950000e-01 -3.5951087e-01 
   165 : -2.2950000e-01 -4.0744565e-01 
   166 : -2.2950000e-01 -4.5538043e-01 
   167 : -2.2950000e-01 -5.0331522e-01 
   168 :  2.2950000e-01 -5.0331522e-01 
   169 :  2.2950000e-01 -4.5538043e-01 
   170 :  2.2950000e-01 -4.0744565e-01 
   171 :  2.2950000e-01 -3.5951087e-01 
   172 :  2.2950000e-01 -3.1157609e-01 
   173 :  2.2950000e-01 -2.6364130e-01 
   174 :  2.2950000e-01 -2.1570652e-01 
   175 :  2.2950000e-01 -1.6777174e-01 
   176 :  2.2950000e-01 -1.1983696e-01 
   177 :  2.2950000e-01 -7.1902174e-02 
   178 :  2.2950000e-01 -2.3967391e-02 
   179 :  2.2950000e-01  2.3967391e-02 
   180 :  2.2950000e-01  7.1902174e-02 
   181 :  2.2950000e-01  1.1983696e-01 
   182 :  2.2950000e-01  1.6777174e-01 
   183 :  2.2950000e-01  2.1570652e-01 
   184 :  2.2950000e-01  2.6364130e-01 
   185 :  2.2950000e-01  3.1157609e-01 
   186 :  2.2950000e-01  3.5951087e-01 
   187 :  2.2950000e-01  4.0744565e-01 
   188 :  2.2950000e-01  4.5538043e-01 
   189 :  2.2950000e-01  5.0331522e-01 
   190 : -2.2448487e-01 -5.9896573e-01 
   191 : -2.0965868e-01 -6.4459606e-01 
   192 : -1.8566940e-01 -6.8614672e-01 
   193 : -1.5356547e-01 -7.2180174e-01 
   194 : -1.1475000e-01 -7.5000283e-01 
   195 : -7.0919400e-02 -7.6951747e-01 
   196 : -2.3989281e-02 -7.7949278e-01 
   197 :  2.3989283e-02 -7.7949277e-01 
   198 :  7.0919401e-02 -7.6951747e-01 
