Size 327 
 0.0000000e+00 0.0000000e+00 5.1949189e+06
 5.1949189e+06 3.8961892e+06 3.8961892e+06
 1.2987297e+06 1.2987297e+06 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 0.0000000e+00 0.0000000e+00
 0.0000000e+00 2.5974594e+05 5.1949189e+05
 7.7923783e+05 1.0389838e+06 1.2987297e+06
 1.5584757e+06 1.8182216e+06 2.0779676e+06
 2.3377135e+06 2.5974594e+06 2.8572054e+06
 3.1169513e+06 3.3766973e+06 3.6364432e+06
 3.8961892e+06 4.1559351e+06 4.4156810e+06
 4.6754270e+06 4.9351729e+06 5.1949189e+06
 5.1949189e+06 5.1949189e+06 5.1949189e+06
 5.1949189e+06 5.1949189e+06 5.1949189e+06
 5.1949189e+06 5.1949189e+06 5.1949189e+06
 5.1949189e+06 5.1949189e+06 5.1949189e+06
 5.1949189e+06 5.1949189e+06 5.1949189e+06
 5.1949189e+06 5.1949189e+06 5.1949189e+06
 4.9784639e+06 4.7620090e+06 4.5455540e+06
 4.3290990e+06 4.1126441e+06 3.8961892e+06
 3.8961892e+06 3.8961892e+06 3.8961892e+06
 3.8961892e+06 3.8961892e+06 3.8961892e+06
 3.8961892e+06 3.8961892e+06 1.3236844e+06
 1.3975896e+06 1.5176052e+06 1.6791189e+06
 1.8759239e+06 2.1004571e+06 2.3440898e+06
 2.5974594e+06 2.8508290e+06 3.0944618e+06
 3.3189950e+06 3.5158001e+06 3.6773137e+06
 3.7973292e+06 3.8712344e+06 1.2987297e+06
 1.2987297e+06 1.2987297e+06 1.2987297e+06
 1.2987297e+06 1.2987297e+06 1.2987297e+06
 1.2987297e+06 1.2987297e+06 1.0822747e+06
 8.6581983e+05 6.4936486e+05 4.3290989e+05
 2.1645497e+05 3.9036448e+06 2.5918624e+05
 4.9378760e+06 1.5299688e+06 1.5664265e+06
 3.1343810e+06 4.9131547e+06 2.6046648e+05
 2.5160288e+06 9.7249697e+05 4.1217239e+06
 4.0626471e+06 1.0411761e+06 1.7102473e+05
 4.9375489e+06 1.1357292e+06 3.5104831e+06
 3.9393122e+06 3.0192117e+06 2.0968007e+06
 2.5974584e+05 2.7585097e+05 4.9342982e+06
 5.1922658e+05 2.5968833e+05 4.9523827e+06
 1.0541964e+06 4.2130904e+06 8.5583972e+05
 4.4175341e+06 4.9366624e+06 4.6762021e+06
 4.5169365e+06 4.1629067e+06 4.3565157e+06
 4.9655240e+06 3.0494865e+05 6.4606551e+05
 4.4658515e+05 1.0365356e+06 4.9419221e+06
 4.9361216e+06 3.4402384e+05 2.3589419e+06
 2.6192427e+06 4.9290104e+06 3.3914705e+06
 4.9223161e+06 1.0389914e+06 2.5947524e+05
 2.5962147e+05 4.9359149e+06 4.9354679e+06
 2.5976579e+05 4.1606066e+06 4.9390124e+06
 1.0468153e+06 2.1862417e+06 1.9443494e+06
 4.1454912e+06 3.8564979e+06 1.0752656e+06
 2.3638122e+05 4.2027336e+06 4.0202492e+06
 3.2821130e+06 4.1127902e+06 3.4839400e+06
 1.9403916e+06 4.6557160e+06 3.4147766e+06
 2.4458487e+06 4.7104484e+06 4.3998879e+06
 5.3783535e+05 5.1879494e+05 4.6852291e+06
 5.1244934e+05 7.9544676e+05 1.3581929e+06
 8.3663306e+05 1.0558374e+06 1.7255099e+06
 2.3961310e+06 4.4700220e+06 1.0277426e+06
 4.6618520e+06 4.1513433e+06 2.3340916e+05
 4.6841910e+06 4.1618774e+06 4.9356185e+06
 2.7908216e+05 4.9172619e+06 2.8787874e+06
 1.8335637e+06 2.6389726e+05 4.9337399e+06
 3.6484864e+06 4.9376186e+06 2.5969612e+05
 1.3015789e+06 1.6799136e+05 4.9380812e+06
 4.1604171e+06 2.5928219e+05 4.6779898e+06
 7.7879865e+05 4.4185371e+06 1.0383660e+06
 2.8319924e+05 1.0441739e+06 4.1559350e+06
 4.7378753e+06 2.7756794e+06 3.7074361e+06
 4.0716915e+06 1.0656888e+06 4.6610630e+05
 4.1494262e+06 3.2494519e+06 5.2098797e+05
 1.3021069e+06 1.2409005e+06 1.5632746e+06
 4.1674654e+06 4.6870005e+06 2.7092971e+06
 6.0933936e+05 4.6353476e+06 4.6807452e+06
 4.6851700e+06 4.6715575e+06 4.6865742e+05
 7.7774938e+05 7.9643670e+05 2.1317482e+06
 1.8589578e+06 3.1652915e+06 8.1053815e+05
 2.6573678e+06 4.3657449e+06 4.4036883e+06
 3.4474742e+06 3.6660743e+06 4.4238764e+06
 5.6643406e+05 7.8241136e+05 5.3032231e+05
 7.7695165e+05 4.4126443e+06 4.5705060e+06
 4.6683969e+06 5.2901688e+05 4.4173104e+06
 2.1720916e+06 4.6727885e+06 4.6821394e+06
 4.4222171e+06 4.3580076e+06 5.1835114e+05
 4.4116762e+06 7.7385974e+05 4.6948073e+06
 5.1940378e+05 4.5148858e+06 4.9788378e+05
 2.9607750e+06 3.9065288e+06 3.7172601e+06
 6.2079286e+05 4.2913468e+06 1.7745598e+06
