Number of nodes 1603 
     0 : -4.5900000e-01 -5.5125000e-01 
     1 :  0.0000000e+00 -5.5125000e-01 
     2 :  4.5900000e-01 -5.5125000e-01 
     3 :  4.5900000e-01  5.5125000e-01 
     4 :  0.0000000e+00  5.5125000e-01 
     5 : -4.5900000e-01  5.5125000e-01 
     6 : -2.2950000e-01 -5.5125000e-01 
     7 :  2.2950000e-01 -5.5125000e-01 
     8 :  2.2950000e-01  5.5125000e-01 
     9 : -2.2950000e-01  5.5125000e-01 
    10 : -4.5900000e-01  5.2145270e-01 
    11 : -4.5900000e-01  4.9165541e-01 
    12 : -4.5900000e-01  4.6185811e-01 
    13 : -4.5900000e-01  4.3206081e-01 
    14 : -4.5900000e-01  4.0226351e-01 
    15 : -4.5900000e-01  3.7246622e-01 
    16 : -4.5900000e-01  3.4266892e-01 
    17 : -4.5900000e-01  3.1287162e-01 
    18 : -4.5900000e-01  2.8307432e-01 
    19 : -4.5900000e-01  2.5327703e-01 
    20 : -4.5900000e-01  2.2347973e-01 
    21 : -4.5900000e-01  1.9368243e-01 
    22 : -4.5900000e-01  1.6388514e-01 
    23 : -4.5900000e-01  1.3408784e-01 
    24 : -4.5900000e-01  1.0429054e-01 
    25 : -4.5900000e-01  7.4493243e-02 
    26 : -4.5900000e-01  4.4695946e-02 
    27 : -4.5900000e-01  1.4898649e-02 
    28 : -4.5900000e-01 -1.4898649e-02 
    29 : -4.5900000e-01 -4.4695946e-02 
    30 : -4.5900000e-01 -7.4493243e-02 
    31 : -4.5900000e-01 -1.0429054e-01 
    32 : -4.5900000e-01 -1.3408784e-01 
    33 : -4.5900000e-01 -1.6388514e-01 
    34 : -4.5900000e-01 -1.9368243e-01 
    35 : -4.5900000e-01 -2.2347973e-01 
    36 : -4.5900000e-01 -2.5327703e-01 
    37 : -4.5900000e-01 -2.8307432e-01 
    38 : -4.5900000e-01 -3.1287162e-01 
    39 : -4.5900000e-01 -3.4266892e-01 
    40 : -4.5900000e-01 -3.7246622e-01 
    41 : -4.5900000e-01 -4.0226351e-01 
    42 : -4.5900000e-01 -4.3206081e-01 
    43 : -4.5900000e-01 -4.6185811e-01 
    44 : -4.5900000e-01 -4.9165541e-01 
    45 : -4.5900000e-01 -5.2145270e-01 
    46 : -4.2938710e-01 -5.5125000e-01 
    47 : -3.9977419e-01 -5.5125000e-01 
    48 : -3.7016129e-01 -5.5125000e-01 
    49 : -3.4054839e-01 -5.5125000e-01 
    50 : -3.1093548e-01 -5.5125000e-01 
    51 : -2.8132258e-01 -5.5125000e-01 
    52 : -2.5170968e-01 -5.5125000e-01 
    53 : -2.2209677e-01 -5.5125000e-01 
    54 : -1.9248387e-01 -5.5125000e-01 
    55 : -1.6287097e-01 -5.5125000e-01 
    56 : -1.3325806e-01 -5.5125000e-01 
    57 : -1.0364516e-01 -5.5125000e-01 
    58 : -7.4032258e-02 -5.5125000e-01 
    59 : -4.4419355e-02 -5.5125000e-01 
    60 : -1.4806452e-02 -5.5125000e-01 
    61 :  1.4806452e-02 -5.5125000e-01 
    62 :  4.4419355e-02 -5.5125000e-01 
    63 :  7.4032258e-02 -5.5125000e-01 
    64 :  1.0364516e-01 -5.5125000e-01 
    65 :  1.3325806e-01 -5.5125000e-01 
    66 :  1.6287097e-01 -5.5125000e-01 
    67 :  1.9248387e-01 -5.5125000e-01 
    68 :  2.2209677e-01 -5.5125000e-01 
    69 :  2.5170968e-01 -5.5125000e-01 
    70 :  2.8132258e-01 -5.5125000e-01 
    71 :  3.1093548e-01 -5.5125000e-01 
    72 :  3.4054839e-01 -5.5125000e-01 
    73 :  3.7016129e-01 -5.5125000e-01 
    74 :  3.9977419e-01 -5.5125000e-01 
    75 :  4.2938710e-01 -5.5125000e-01 
    76 :  4.5900000e-01 -5.2145270e-01 
    77 :  4.5900000e-01 -4.9165541e-01 
    78 :  4.5900000e-01 -4.6185811e-01 
    79 :  4.5900000e-01 -4.3206081e-01 
    80 :  4.5900000e-01 -4.0226351e-01 
    81 :  4.5900000e-01 -3.7246622e-01 
    82 :  4.5900000e-01 -3.4266892e-01 
    83 :  4.5900000e-01 -3.1287162e-01 
    84 :  4.5900000e-01 -2.8307432e-01 
    85 :  4.5900000e-01 -2.5327703e-01 
    86 :  4.5900000e-01 -2.2347973e-01 
    87 :  4.5900000e-01 -1.9368243e-01 
    88 :  4.5900000e-01 -1.6388514e-01 
    89 :  4.5900000e-01 -1.3408784e-01 
    90 :  4.5900000e-01 -1.0429054e-01 
    91 :  4.5900000e-01 -7.4493243e-02 
    92 :  4.5900000e-01 -4.4695946e-02 
    93 :  4.5900000e-01 -1.4898649e-02 
    94 :  4.5900000e-01  1.4898649e-02 
    95 :  4.5900000e-01  4.4695946e-02 
    96 :  4.5900000e-01  7.4493243e-02 
    97 :  4.5900000e-01  1.0429054e-01 
    98 :  4.5900000e-01  1.3408784e-01 
    99 :  4.5900000e-01  1.6388514e-01 
   100 :  4.5900000e-01  1.9368243e-01 
   101 :  4.5900000e-01  2.2347973e-01 
   102 :  4.5900000e-01  2.5327703e-01 
   103 :  4.5900000e-01  2.8307432e-01 
   104 :  4.5900000e-01  3.1287162e-01 
   105 :  4.5900000e-01  3.4266892e-01 
   106 :  4.5900000e-01  3.7246622e-01 
   107 :  4.5900000e-01  4.0226351e-01 
   108 :  4.5900000e-01  4.3206081e-01 
   109 :  4.5900000e-01  4.6185811e-01 
   110 :  4.5900000e-01  4.9165541e-01 
   111 :  4.5900000e-01  5.2145270e-01 
   112 :  4.2938710e-01  5.5125000e-01 
   113 :  3.9977419e-01  5.5125000e-01 
   114 :  3.7016129e-01  5.5125000e-01 
   115 :  3.4054839e-01  5.5125000e-01 
   116 :  3.1093548e-01  5.5125000e-01 
   117 :  2.8132258e-01  5.5125000e-01 
   118 :  2.5170968e-01  5.5125000e-01 
   119 :  2.2209677e-01  5.5125000e-01 
   120 :  1.9248387e-01  5.5125000e-01 
   121 :  1.6287097e-01  5.5125000e-01 
   122 :  1.3325806e-01  5.5125000e-01 
   123 :  1.0364516e-01  5.5125000e-01 
   124 :  7.4032258e-02  5.5125000e-01 
   125 :  4.4419355e-02  5.5125000e-01 
   126 :  1.4806452e-02  5.5125000e-01 
   127 : -1.4806452e-02  5.5125000e-01 
   128 : -4.4419355e-02  5.5125000e-01 
   129 : -7.4032258e-02  5.5125000e-01 
   130 : -1.0364516e-01  5.5125000e-01 
   131 : -1.3325806e-01  5.5125000e-01 
   132 : -1.6287097e-01  5.5125000e-01 
   133 : -1.9248387e-01  5.5125000e-01 
   134 : -2.2209677e-01  5.5125000e-01 
   135 : -2.5170968e-01  5.5125000e-01 
   136 : -2.8132258e-01  5.5125000e-01 
   137 : -3.1093548e-01  5.5125000e-01 
   138 : -3.4054839e-01  5.5125000e-01 
   139 : -3.7016129e-01  5.5125000e-01 
   140 : -3.9977419e-01  5.5125000e-01 
   141 : -4.2938710e-01  5.5125000e-01 
   142 : -4.5805694e-01 -5.8065823e-01 
   143 : -4.5523162e-01 -6.0994562e-01 
   144 : -4.5053565e-01 -6.3899181e-01 
   145 : -4.4398834e-01 -6.6767745e-01 
   146 : -4.3561659e-01 -6.9588467e-01 
   147 : -4.2545479e-01 -7.2349756e-01 
   148 : -4.1354471e-01 -7.5040264e-01 
   149 : -3.9993528e-01 -7.7648936e-01 
   150 : -3.8468244e-01 -8.0165052e-01 
   151 : -3.6784885e-01 -8.2578273e-01 
   152 : -3.4950369e-01 -8.4878683e-01 
   153 : -3.2972235e-01 -8.7056829e-01 
   154 : -3.0858611e-01 -8.9103760e-01 
   155 : -2.8618182e-01 -9.1011065e-01 
   156 : -2.6260155e-01 -9.2770907e-01 
   157 : -2.3794219e-01 -9.4376053e-01 
   158 : -2.1230507e-01 -9.5819908e-01 
   159 : -1.8579555e-01 -9.7096539e-01 
   160 : -1.5852256e-01 -9.8200701e-01 
   161 : -1.3059816e-01 -9.9127855e-01 
   162 : -1.0213711e-01 -9.9874191e-01 
   163 : -7.3256350e-02 -1.0043664e+00 
   164 : -4.4074567e-02 -1.0081290e+00 
   165 : -1.4711672e-02 -1.0100142e+00 
   166 :  1.4711676e-02 -1.0100142e+00 
   167 :  4.4074571e-02 -1.0081290e+00 
   168 :  7.3256354e-02 -1.0043664e+00 
   169 :  1.0213711e-01 -9.9874191e-01 
   170 :  1.3059816e-01 -9.9127854e-01 
   171 :  1.5852256e-01 -9.8200701e-01 
   172 :  1.8579556e-01 -9.7096539e-01 
   173 :  2.1230508e-01 -9.5819908e-01 
   174 :  2.3794219e-01 -9.4376053e-01 
   175 :  2.6260155e-01 -9.2770906e-01 
   176 :  2.8618182e-01 -9.1011065e-01 
   177 :  3.0858611e-01 -8.9103760e-01 
   178 :  3.2972235e-01 -8.7056829e-01 
   179 :  3.4950370e-01 -8.4878683e-01 
   180 :  3.6784885e-01 -8.2578273e-01 
   181 :  3.8468244e-01 -8.0165052e-01 
   182 :  3.9993529e-01 -7.7648936e-01 
   183 :  4.1354471e-01 -7.5040264e-01 
   184 :  4.2545479e-01 -7.2349755e-01 
   185 :  4.3561659e-01 -6.9588467e-01 
   186 :  4.4398834e-01 -6.6767745e-01 
   187 :  4.5053565e-01 -6.3899181e-01 
   188 :  4.5523162e-01 -6.0994562e-01 
   189 :  4.5805694e-01 -5.8065823e-01 
   190 :  4.5805694e-01  5.8065823e-01 
   191 :  4.5523162e-01  6.0994562e-01 
   192 :  4.5053565e-01  6.3899181e-01 
   193 :  4.4398834e-01  6.6767745e-01 
   194 :  4.3561659e-01  6.9588467e-01 
   195 :  4.2545479e-01  7.2349756e-01 
   196 :  4.1354471e-01  7.5040264e-01 
   197 :  3.9993528e-01  7.7648936e-01 
